lead_score,lead_reasons,name,category,address,phone,website,has_website,rating,reviews,search_query,search_location,scraped_date,maps_url
6,No website | No reviews,Mobile Mechanic R&R,Taller de automóviles," 2625 NW 22nd Ct, Miami, FL 33142, Estados Unidos",+1 305-218-9761,,False,,,,,2026-06-10,https://www.google.com/maps/place/Mobile+Mechanic+R%26R/data=!4m7!3m6!1s0x88d9b7f803c3f2fd:0xd3588cc28ab54db6!8m2!3d25.8006936!4d-80.2325485!16s%2Fg%2F11sscszdz6!19sChIJ_fLDA_i32YgRtk21isKMWNM
6,No website | No reviews,J C Car Care Center,Taller de reparación de automóviles," 5560 NW 27th Ave, Miami, FL 33142, Estados Unidos",+1 305-633-1824,,False,,,,,2026-06-10,https://www.google.com/maps/place/J+C+Car+Care+Center/data=!4m7!3m6!1s0x88d9b0dc8fb0ee55:0x87ee73b5a51d4973!8m2!3d25.8255677!4d-80.2411421!16s%2Fg%2F1tks736p!19sChIJVe6wj9yw2YgRc0kdpbVz7oc
6,No website | No reviews,Miami Auto Repair Shop Brakes Tune Ups & Collision Multiser Versailles,Taller de reparación de automóviles," 3231 SW 8th St, Miami, FL 33135, Estados Unidos",+1 786-474-1311,,False,,,,,2026-06-10,https://www.google.com/maps/place/Miami+Auto+Repair+Shop+Brakes+Tune+Ups+%26+Collision+Multiser+Versailles/data=!4m7!3m6!1s0x88d9b71ca4343793:0xc0a1e852c9687be!8m2!3d25.7651521!4d-80.2478759!16s%2Fg%2F11ppk71f9b!19sChIJkzc0pBy32YgRvoeWLIUeCgw
6,No website | No reviews,"Top Logistics, LLC - Intermodal",Empresa de transporte por camión," 7306 S Lake Houston Pkwy, Houston, TX 77049, Estados Unidos",+1 281-436-0378,,False,,,,,2026-06-10,"https://www.google.com/maps/place/Top+Logistics,+LLC+-+Intermodal/data=!4m7!3m6!1s0x8640a53c07565f7d:0xed51e9b9707a9adc!8m2!3d29.832042!4d-95.209293!16s%2Fg%2F11j3txf5hv!19sChIJfV9WBzylQIYR3Jp6cLnpUe0"
6,No website | No reviews,"Moise Car Clinic, LLC",Taller de reparación de automóviles," 7751 NW 7th Ave, Miami, FL 33150, Estados Unidos",+1 305-757-9475,,False,,,,,2026-06-10,"https://www.google.com/maps/place/Moise+Car+Clinic,+LLC/data=!4m7!3m6!1s0x88d9b17358b3852d:0xe5561086088f4b0c!8m2!3d25.8459381!4d-80.208857!16s%2Fg%2F1pp2vmw59!19sChIJLYWzWHOx2YgRDEuPCIYQVuU"
6,No website | No reviews,L & N Transport Inc,Empresa de transporte por camión," 1830 S 27th Ave, Phoenix, AZ 85009, Estados Unidos",+1 602-484-0563,,False,,,,,2026-06-10,https://www.google.com/maps/place/L+%26+N+Transport+Inc/data=!4m7!3m6!1s0x872b1160cebef251:0x804e825d915227ee!8m2!3d33.4305264!4d-112.1175783!16s%2Fg%2F1tdlc5fv!19sChIJUfK-zmARK4cR7idSkV2CToA
6,No website | No reviews,"M & P Transport Company, INC.",Empresa de transporte por camión," 3401 S 39th Ave, Phoenix, AZ 85009, Estados Unidos",+1 602-272-2637,,False,,,,,2026-06-10,"https://www.google.com/maps/place/M+%26+P+Transport+Company,+INC./data=!4m7!3m6!1s0x872b16b14fdfd909:0xfe61aa889155a3d5!8m2!3d33.4181537!4d-112.1428213!16s%2Fg%2F1wv_spby!19sChIJCdnfT7EWK4cR1aNVkYiqYf4"
6,No website | No reviews,United Spring & Manufacturing Co,Fábrica," 830 N Pulaski Rd, Chicago, IL 60651, Estados Unidos",+1 773-384-8464,,False,,,,,2026-06-10,https://www.google.com/maps/place/United+Spring+%26+Manufacturing+Co/data=!4m7!3m6!1s0x880e32cd466493f7:0x8af664a198edeb61!8m2!3d41.896399!4d-87.7264682!16s%2Fg%2F1tks6x8w!19sChIJ95NkRs0yDogRYevtmKFk9oo
6,No website | No reviews,Chicago American Manufacturing,Fábrica," 4500 W 47th St, Chicago, IL 60632, Estados Unidos",+1 773-376-8600,,False,,,,,2026-06-10,https://www.google.com/maps/place/Chicago+American+Manufacturing/data=!4m7!3m6!1s0x880e3182b59397b9:0xdf0d7adba64d907f!8m2!3d41.8079289!4d-87.7353791!16s%2Fg%2F1tdx03q6!19sChIJuZeTtYIxDogRf5BNptt6Dd8
6,No website | No reviews,Milo Auto Repair Inc,Taller de reparación de automóviles," 330 NW 22nd Ave, Miami, FL 33125, Estados Unidos",+1 305-541-7313,,False,,,,,2026-06-10,https://www.google.com/maps/place/Milo+Auto+Repair+Inc/data=!4m7!3m6!1s0x88d9b6e210fb1c61:0xab3dc140cc1d023b!8m2!3d25.776299!4d-80.231349!16s%2Fg%2F1v_nd9ds!19sChIJYRz7EOK22YgROwIdzEDBPas
6,No website | No reviews,Bond & Bailey Machine Co,Machine shop," 2707 W Fort St, Detroit, MI 48216, United States",+1 313-496-0177,,False,,,machine shop,Detroit MI,2026-06-10,https://www.google.com/maps/place/Bond+%26+Bailey+Machine+Co/data=!4m7!3m6!1s0x883b329dba82ece9:0x3ed4a65ac3de7170!8m2!3d42.3181924!4d-83.0754853!16s%2Fg%2F1tkf1n7j!19sChIJ6eyCup0yO4gRcHHew1qm1D4
6,No website | No reviews,G A Machine Co,Machine shop," 8851 Mark Twain St, Detroit, MI 48228, United States",+1 313-525-0977,,False,,,machine shop,Detroit MI,2026-06-10,https://www.google.com/maps/place/G+A+Machine+Co/data=!4m7!3m6!1s0x8824cb47c2668ea5:0x9ecec5a8fe250ad0!8m2!3d42.359274!4d-83.185037!16s%2Fg%2F1wnf1nx2!19sChIJpY5mwkfLJIgR0Aol_qjFzp4
6,No website | No reviews,F C Washington & Son,Machine shop," 510 Harper Ave, Detroit, MI 48202, United States",+1 313-872-6500,,False,,,machine shop,Detroit MI,2026-06-10,https://www.google.com/maps/place/F+C+Washington+%26+Son/data=!4m7!3m6!1s0x8824d2916e94c7e5:0xfd92b0881d1df637!8m2!3d42.3672797!4d-83.0636893!16s%2Fg%2F1tdvf5_9!19sChIJ5ceUbpHSJIgRN_YdHYiwkv0
6,No website | No reviews,J & N Industries,Machine shop," 5431 E Davison St, Detroit, MI 48212, United States",+1 313-366-4310,,False,,,machine shop,Detroit MI,2026-06-10,https://www.google.com/maps/place/J+%26+N+Industries/data=!4m7!3m6!1s0x8824d18866645603:0xe65cd27624f6f662!8m2!3d42.4207514!4d-83.0481845!16s%2Fg%2F1tfk9n3c!19sChIJA1ZkZojRJIgRYvb2JHbSXOY
6,No website | No reviews,Metals Crankshaft Grinding Inc,Machine shop," 1435 E 45th St, Cleveland, OH 44103, United States",+1 216-431-5778,,False,None,None,machine shop,Cleveland OH,2026-06-10,https://www.google.com/maps/place/Metals+Crankshaft+Grinding+Inc/data=!4m7!3m6!1s0x8830fa47db23d62f:0x60fcd560bad36cb6!8m2!3d41.516047!4d-81.658911!16s%2Fg%2F1tj537bv!19sChIJL9Yj20f6MIgRtmzTumDV_GA
6,No website | No reviews,West Allis Machine Co Inc,Machine shop," 1900 S 70th St, Milwaukee, WI 53219, United States",+1 414-543-0355,,False,None,None,machine shop,Milwaukee WI,2026-06-10,https://www.google.com/maps/place/West+Allis+Machine+Co+Inc/data=!4m7!3m6!1s0x88051aa50ff6317b:0xa39a3eaa5366c17b!8m2!3d43.0098275!4d-87.999999!16s%2Fg%2F1v_0k9qx!19sChIJezH2D6UaBYgRe8FmU6o-mqM
6,No website | No reviews,Prototype Machining Co,Machine shop," 3235 N 32nd St, Milwaukee, WI 53216, United States",+1 414-444-9949,,False,None,None,machine shop,Milwaukee WI,2026-06-10,https://www.google.com/maps/place/Prototype+Machining+Co/data=!4m7!3m6!1s0x88051b8ac0672a09:0x484390e06d104b91!8m2!3d43.0778999!4d-87.9542253!16s%2Fg%2F1x6q2b0w!19sChIJCSpnwIobBYgRkUsQbeCQQ0g
6,No website | No reviews,"RICH LOGISTICS - DALLAS, TX",Trucking company," 4414 Irving Blvd, Dallas, TX 75247, United States",,,False,None,None,trucking company,Dallas TX,2026-06-10,"https://www.google.com/maps/place/RICH+LOGISTICS+-+DALLAS,+TX/data=!4m7!3m6!1s0x864e9c9bc13695c5:0xbf30807699cff490!8m2!3d32.8066751!4d-96.8924647!16s%2Fg%2F11c514jm_7!19sChIJxZU2wZucToYRkPTPmXaAML8"
6,No website | No reviews,Super Transport International,Trucking company," 9416 S Central Expy, Dallas, TX 75241, United States",,,False,None,None,trucking company,Dallas TX,2026-06-10,https://www.google.com/maps/place/Super+Transport+International/data=!4m7!3m6!1s0x864ebd3a70eb0a27:0xb5c56a7c8af56961!8m2!3d32.6836088!4d-96.7345543!16s%2Fg%2F11fqb4hmgz!19sChIJJwrrcDq9ToYRYWn1inxqxbU
6,No website | No reviews,Sam's Hybrid Auto Repair,Auto repair shop," 102 New Laredo Hwy, San Antonio, TX 78211, United States",+1 210-400-1000,,False,None,None,auto repair shop,San Antonio TX,2026-06-10,https://www.google.com/maps/place/Sam%27s+Hybrid+Auto+Repair/data=!4m7!3m6!1s0x865c59a9987d000b:0xa216b1326cec8104!8m2!3d29.3740581!4d-98.5350229!16s%2Fg%2F11c3j5cs83!19sChIJCwB9mKlZXIYRBIHsbDKxFqI
6,No website | No reviews,San Antonio Auto Center,Auto air conditioning service," 421 Fredericksburg Rd, San Antonio, TX 78201, United States",+1 210-732-9222,,False,None,None,auto repair shop,San Antonio TX,2026-06-10,https://www.google.com/maps/place/San+Antonio+Auto+Center/data=!4m7!3m6!1s0x865c5f3fc65ad55d:0xef70e71b14f0c655!8m2!3d29.4460986!4d-98.5082289!16s%2Fg%2F1tf8tj6w!19sChIJXdVaxj9fXIYRVcbwFBvncO8
6,No website | No reviews,JP Automotive Repair LLC,Auto repair shop," 1139 Basse Rd #4, San Antonio, TX 78212, United States",+1 210-373-3890,,False,None,None,auto repair shop,San Antonio TX,2026-06-10,https://www.google.com/maps/place/JP+Automotive+Repair+LLC/data=!4m7!3m6!1s0x865c5f943c37e48f:0x82dd4ca52f697a33!8m2!3d29.4888305!4d-98.501931!16s%2Fg%2F11b7d_gy4_!19sChIJj-Q3PJRfXIYRM3ppL6VM3YI
6,No website | No reviews,Certified Automotive Repair Service,Auto repair shop," 108 Nova Mae Dr, San Antonio, TX 78216, United States",+1 210-342-2222,,False,None,None,auto repair shop,San Antonio TX,2026-06-10,https://www.google.com/maps/place/Certified+Automotive+Repair+Service/data=!4m7!3m6!1s0x865c5fec97466f33:0xe94a74620d9e7243!8m2!3d29.4955346!4d-98.499965!16s%2Fg%2F1tnct9tm!19sChIJM29Gl-xfXIYRQ3KeDWJ0Suk
